Time,Pac
2023-04-26T00:00:00,0
2023-04-26T00:15:00,0
2023-04-26T00:30:00,2
2023-04-26T00:45:00,5
2023-04-26T01:00:00,0
2023-04-26T01:15:00,6
2023-04-26T01:30:00,12
2023-04-26T01:45:00,19
2023-04-26T02:00:00,30
2023-04-26T02:15:00,36
2023-04-26T02:30:00,42
2023-04-26T02:45:00,48
2023-04-26T03:00:00,53
2023-04-26T03:15:00,59
2023-04-26T03:30:00,65
2023-04-26T03:45:00,71
2023-04-26T04:00:00,78
2023-04-26T04:15:00,86
2023-04-26T04:30:00,94
2023-04-26T04:45:00,101
2023-04-26T05:00:00,103
2023-04-26T05:15:00,107
2023-04-26T05:30:00,112
2023-04-26T05:45:00,117
2023-04-26T06:00:00,126
2023-04-26T06:15:00,136
2023-04-26T06:30:00,146
2023-04-26T06:45:00,156
2023-04-26T07:00:00,158
2023-04-26T07:15:00,167
2023-04-26T07:30:00,176
2023-04-26T07:45:00,185
2023-04-26T08:00:00,187
2023-04-26T08:15:00,197
2023-04-26T08:30:00,207
2023-04-26T08:45:00,216
2023-04-26T09:00:00,219
2023-04-26T09:15:00,229
2023-04-26T09:30:00,239
2023-04-26T09:45:00,248
2023-04-26T10:00:00,251
2023-04-26T10:15:00,260
2023-04-26T10:30:00,270
2023-04-26T10:45:00,280
2023-04-26T11:00:00,285
2023-04-26T11:15:00,292
2023-04-26T11:30:00,299
2023-04-26T11:45:00,306
2023-04-26T12:00:00,301
2023-04-26T12:15:00,306
2023-04-26T12:30:00,311
2023-04-26T12:45:00,318
2023-04-26T13:00:00,315
2023-04-26T13:15:00,387
2023-04-26T13:30:00,460
2023-04-26T13:45:00,532
2023-04-26T14:00:00,506
2023-04-26T14:15:00,545
2023-04-26T14:30:00,584
2023-04-26T14:45:00,613
2023-04-26T15:00:00,603
2023-04-26T15:15:00,596
2023-04-26T15:30:00,589
2023-04-26T15:45:00,596
2023-04-26T16:00:00,602
2023-04-26T16:15:00,609
2023-04-26T16:30:00,616
2023-04-26T16:45:00,615
2023-04-26T17:00:00,615
2023-04-26T17:15:00,610
2023-04-26T17:30:00,605
2023-04-26T17:45:00,605
2023-04-26T18:00:00,605
2023-04-26T18:15:00,633
2023-04-26T18:30:00,661
2023-04-26T18:45:00,678
2023-04-26T19:00:00,895
2023-04-26T19:15:00,895
2023-04-26T19:30:00,895
2023-04-26T19:45:00,895
2023-04-26T20:00:00,896
2023-04-26T20:15:00,919
2023-04-26T20:30:00,942
2023-04-26T20:45:00,959
2023-04-26T21:00:00,993
2023-04-26T21:15:00,1027
2023-04-26T21:30:00,1057
2023-04-26T21:45:00,1060
2023-04-26T22:00:00,1067
2023-04-26T22:15:00,1054
2023-04-26T22:30:00,1041
2023-04-26T22:45:00,1028
2023-04-26T23:00:00,939
2023-04-26T23:15:00,939
2023-04-26T23:30:00,939
2023-04-26T23:45:00,939
